stop_id,on_street,cross_street,routes,boardings,alightings,month_beginning,daytype,location
1,JACKSON,AUSTIN,126,183.4,150,10/1/12,Weekday,"(41.87632184, -87.77410482)"
2,JACKSON,MAYFIELD (EXTENDED),126,5.3,0.2,10/1/12,Weekday,"(41.87706679, -87.77131794)"
3,JACKSON,MENARD,126,8.3,0.7,10/1/12,Weekday,"(41.87695725, -87.76975039)"
4,JACKSON,5700 WEST,126,17.9,3,10/1/12,Weekday,"(41.87702418, -87.76745055)"
6,JACKSON,LOTUS,126,74,11.2,10/1/12,Weekday,"(41.87651300, -87.76144600)"
7,JACKSON,5351 WEST,126,14.3,2.5,10/1/12,Weekday,"(41.87655197, -87.75892544)"
8,JACKSON,LOCKWOOD,126,62.4,14.1,10/1/12,Weekday,"(41.87656400, -87.75731300)"
9,JACKSON,LARAMIE,126,0.1,0,10/1/12,Weekday,"(41.87659463, -87.75461526)"
12,JACKSON,LAVERGNE,126,0,0,10/1/12,Weekday,"(41.87662062, -87.74912362)"
13,JACKSON,4849 WEST,126,0,0,10/1/12,Weekday,"(41.87668892, -87.74701737)"
14,JACKSON,CICERO,126,530.5,145.2,10/1/12,Weekday,"(41.87676314, -87.74483066)"
15,JACKSON,KILPATRICK,126,51.6,13.1,10/1/12,Weekday,"(41.87682975, -87.74254901)"
16,JACKSON,KENTON,126,16.2,8.1,10/1/12,Weekday,"(41.87683358, -87.74058525)"
17,JACKSON,KOLMAR,126,17.9,5.2,10/1/12,Weekday,"(41.87685748, -87.73934698)"
18,JACKSON,KILBOURN,126,56.4,29.6,10/1/12,Weekday,"(41.87688572, -87.73761421)"
19,JACKSON,KOSTNER,126,95.1,28.2,10/1/12,Weekday,"(41.87691497, -87.73515882)"
20,JACKSON,KILDARE,126,56.3,31,10/1/12,Weekday,"(41.87693300, -87.73265000)"
21,JACKSON,KEELER,126,49.4,21.5,10/1/12,Weekday,"(41.87696300, -87.73020000)"
22,JACKSON,KARLOV,126,25.1,36.1,10/1/12,Weekday,"(41.87700660, -87.72780787)"
23,JACKSON,PULASKI,126,239.9,122,10/1/12,Weekday,"(41.87704003, -87.72532923)"
24,JACKSON,SPRINGFIELD,126,32.1,16.6,10/1/12,Weekday,"(41.87706855, -87.72295441)"
25,JACKSON,HAMLIN,126,60.3,54.6,10/1/12,Weekday,"(41.87708065, -87.72082664)"
26,JACKSON,CENTRAL PARK,126,40.1,41.3,10/1/12,Weekday,"(41.87714182, -87.71547720)"
27,JACKSON,ST. LOUIS,126,13.1,17.4,10/1/12,Weekday,"(41.87718100, -87.71324100)"
